,main,pros,cons
108,I have been working at Vivint Solar full-time,Lunch cafe site Also gym site," department provides no reward or incentive work here  gives endless amounts empty false promises acknowledges poor morale seems not care whatsoever by do nothing correct these actions

Other departments activities or even an employee store earn ""credit"" from work done spend products or items usually VSLR related This department doesn't any  only activities this department has when VSLR has company-wide event or activity

 department displays poor decision making Your input does not matter here unless aligns what your leadership thinks

 pay here joke  does not matter if your performance review shows been an excellent worker historically  borderline impossible raise They said you'd raise opportunity every 90 days but they consistently ignore or fight this if bring up

 turnover rate this department embarrassingly high Many VSLR 'vets"" walking away from company because they tired working department doesn't reward or acknowledge their efforts

Former employees from this department literally going right down street work other companies picking up what VSLR clearly lacking"
109,I have been working at Vivint Solar full-time for less than a year, coworkers clear guidance resources available do successfully,None at this time
110,I have been working at Vivint Solar full-time for more than 8 years,"Excellent people work with
Interesting problems solve
New tech work with",Not much terms career growth/planning
111,I worked at Vivint Solar full-time for more than 3 years,"- Discounted lunches
- Gym showers
- Free coffee soda bar
- Free fresh fruit
- Bus stop near by
- Frontrunner accessible
- Vested 401k match
- Flexible schedule
- Work from home opportunities
- Pay higher than minimum wage
- It's easy hired here"," company displays cyclical poor decision making Your input does not matter here unless aligns what your manager thinks Making positive change extremely difficult trend cyclical behavior means any change try make ultimately meaningless

Management has next zero follow-up strings people along gives endlessly empty false promises acknowledges poor morale seems not care whatsoever by not working overcome values quantity over quality strongly displays this extremely poorly planned incentives encourages dishonesty poor quality work fails 1 hire competent processors leadership 2 fails take appropriate action against toxic malicious leadership

Departments don't want work together which makes work even harder Many areas under-staffed making more difficult anyone assist each other

 pay here not very competitive There been several pay raise freezes minimal annual raises  does not matter if your performance review shows been an excellent worker historically  very difficult raise even new tier structure They said you'd raise opportunity every 90 days but they deeply failed consistently done so despite consistent efforts communications This related poor follow-up

Communication extremely poor No one seems know what they doing hardly ever available talk office"
112,I have been working at Vivint Solar full-time for less than a year,Flexibility self reliance,Door doors sales also they don’t let pick town work in
113,I have been working at Vivint Solar full-time for more than 5 years, people work/life balance location,Industry changes / challenges direct sales culture
114,I worked at Vivint Solar full-time,Cafeteria awesome coworkers relaxed environment casual dresscode open floorplan perksatwork caring managers,Long commute poor communication managers overworked
115,I worked at Vivint Solar full-time for less than a year,We glad had experience us We appreciate feedback continue working hard toward increasing our employee engagement leadership development company communication,Unlimited income if can knock 100's doors take rejection Managers been business awhile want be best   customer neighborhood tools   customer retention programs  CEO
116,I worked at Vivint Solar full-time,"Corporate wants  meet sales goals right away only confusing video training couple hours following manager No Demos 
PPA's pushed during training Pay PPA low front end lots rep pay deductions ESC's Trenching bad credit low bill Average upfront pay was under $500 per account  
Real pay residual pay  Most reps quit or be fired never see residual If fired not meeting numbers lose your monthly residual sold systems 
Reps "" independent"" but can only work an assigned area Reps must show up unpaid meetings 2 or 3 times week unless combine",Flexible  pay if done right
117,I worked at Vivint Solar full-time for less than a year,Poor management hard stay motivated, higher commission = more ripped off customer
118,I have been working at Vivint Solar full-time,"Noone knows what they're doingthey hire anyone pulse knock doors hopes tricking customer into horrible contract There's no proper training they bunch boujey cocky pretentious ""leaders"" don't know anything about solar",I started at Vivint Solar 2014 worked MA CA UT left March 2018 only then realized just how unique their culture came back February 2019  really feels like family they really at making fun won all sorts cool things from love sacs drones  pay competitive everyone else new residual pay actually pretty ingenious On selling side helps salesman keep high volume provides some security pay 100% commission On company side helps company their cash flow cycle other metrics important shareholders So both side benefits from it
119,I have been working at Vivint Solar full-time for more than 3 years,Vivint high volume company which means they problems occur from scale  has slowly gotten better over years but summarize: Sometimes there an excessive amount corporate red tape had some accounts close 100 emails back forth between different departments trying resolve an issue Basically if an account needs anything unique stuck because agents at corp not empowered move forward,"Top line sales training
High compensation"
120,I have been working at Vivint Solar full-time for less than a year,Pay Flexibility ability choose where want work apps help work,Time takes paid  very little training  poor leadership at office level
121,I worked at Vivint Solar full-time for less than a year,Thank your feedback At Vivint Solar we continually working hard toward increasing training development available our leadership management staff We would like hear more about your experience Please contact us at hrsolar@vivintsolarcom,Free meals young environment modern building  schedules
122,I have been working at Vivint Solar full-time for less than a year,PAY customers where very difficult did not much help No personal relationships Always phone,We sorry experience had at Vivint Solar We appreciate feedback always looking ways improve capabilities our leaders engagement our employees
123,I have been working at Vivint Solar full-time for more than a year,"Management culture compensation freedom satisfaction saving environment
Having 20+ year sales once decided go into renewable energy spent *lot* time researching which company join Between culture experienced at couple interviews/meetings as well as A BBB rating overall customer satisfaction 997% i knew this was company doing right things SO happy be here",You MUST be self starter This not ‘micro managing’ company
124,I have been working at Vivint Solar ,"Vivint has been an amazing learning experience I’ve gained some best sales experience my career 

I am current employee about 2 years since joining Vivint they awarded my work regular paid all inclusive vacations (Tahiti Key West most recently Fiji) an amazing work life balance 

My first full year here made my first 6 figures ever sales environment 

I would highly recommend this any ambitious or competitive person There regular sales competitions fun but not “cut throat” 

I hope continue many more years come 

Plenty room grow","-In sales 100% commission what make experience up Whether want look at as limitless “no ceiling”

-some reliant utility approval or other variable factors can keep deals from going through This any solar company though “volume cures all”"
125,I have been working at Vivint Solar full-time for less than a year,Outstanding company gives back its employees Very nice people work with,At end day door door sales which can be very difficult
126,I have been working at Vivint Solar full-time for less than a year, district managers at Vivint Solar help develop your leadership skills help reach your true potential  Culturally company all about togetherness,You make sacrifices make work
127,I have been working at Vivint Solar , Work Environment Team Oriented,No Complaints there help every step way
128,I have been working at Vivint Solar full-time for more than a year,We best training succeed future,New challenges my career
129,I have been working at Vivint Solar  for less than a year,"-  best culture any ever had
- Make consistent improvements 
-  pay scale
- Learn from some top professionals industry
-  trainings growth success workplace growth success personal life
-  opportunity growth",-  only con ourselves  A positive attitude willingness let go bad habits necessary success this Those embrace do well  Those who do not fail
130,I have been working at Vivint Solar full-time for less than a year, culture loads potential opportunity,Self motivation key
131,I have been working at Vivint Solar full-time for less than a year, atmosphere they motivate make money paid work put fun atmosphere,How hard work determines how much paid
132,I have been working at Vivint Solar full-time for more than a year,Unlimited salary potential  culture,There no cons can think of
133,I have been working at Vivint Solar full-time for less than a year," potential money
Amazing work environment 
Team always willing help",Commission only no base pay
134,I have been working at Vivint Solar full-time for less than a year, culture  education they give  team we I’ve never enjoyed working somewhere like enjoy vivint So grateful work such an Amazing company,Too much money spend
135,I have been working at Vivint Solar ,"-Exercise daily lots movement
-Salary uncapped make as much as want
-Tournaments monthly always an incentive work
-A actually matters leave emotionally fulfilled 
-10-99 instead W-2 All money yours until April 15th",-if you’re not people person you’re not gonna last long
136,I have been working at Vivint Solar full-time for more than 3 years,I love Culture family,Staying consistent maintaining work ethic
137,I have been working at Vivint Solar full-time for less than a year,culture training freedom best tools,direct sales not everyone be successful if apply training principles
138,I have been working at Vivint Solar full-time for less than a year, hours work here unbelievably flexible combined potential make more money then I've ever earned before makes this one my favorite jobs I've had pleasure working Things only better better me as progress further into my employment   work culture here make me look forward being employed this company foreseeable future ,I much money spend 
139,I have been working at Vivint Solar full-time for less than a year,You potential learn & grow as leader freedom make unlimited money,Making too much money $
140,I have been working at Vivint Solar ,Unbelievable culture potential growth uncapped income potential,Making too much money can be intimidating
141,I have been working at Vivint Solar full-time for more than 3 years," work environment 
 income potential 
Top notch training provided
Involved leadership","Sorry don’t one
I guess only Con would be if didn’t take advantage this opportunity"
142,I have been working at Vivint Solar ,Pay accessibility training opportunity growth flexible hrs,Lead generation through door door
143,I have been working at Vivint Solar full-time for more than 3 years,"-unlimited potential
-Managers work harder than new agents
-make your own schedule
-Money",-None but if looking come make ton wothout practice wont work  Cant cheat work
144,I have been working at Vivint Solar full-time for more than a year,Confidence work ethic change your life,If dont desire beat your fears talk people not succeed
145,I have been working at Vivint Solar full-time for less than a year,Cash cash cash We highest paying solar company,Account Holds It’s tough sometimes progress accounts
146,I have been working at Vivint Solar , training has been top notch  majority management exceptional absolutely looking new team members be successful,If aren't self motivated person this may not be you
147,I have been working at Vivint Solar full-time for less than a year,Able fulfill dream I've had since High School, only limiting factor space between your ears
148,I have been working at Vivint Solar full-time for more than 3 years,Sometimes they had ok food  was JOKE though,Everything You'll be crying break room after month
149,I worked at Vivint Solar full-time for more than a year,I’m new Vivint   training from leaders  Flexible schedule  Unlimited earning potential,Must confidence front customers at their door
150,I have been working at Vivint Solar ,Outrageous compensation work at your own pace schedule,Unbelievably hard struggle at first Easy fail easy lose motivation
151,I have been working at Vivint Solar full-time for less than a year,Unlimited earning potential  competitive environment pushes your potential,You need discipline keep track
152,I have been working at Vivint Solar  for less than a year,Pay growth culture helping people helping environment freedom schedule really could go all day,There’s definitely learning curve so it’s little challenging beginning but gets so much easier after first 2 months
153,I worked at Vivint Solar full-time for more than 5 years,Flexible environment Amazing atmosphere Fun interesting incentives Fantastic income opportunity No political leadership Growth opportunity training Helping people environment what more purpose could want out job, not an easy but those who can succeed at can change their lives others too
154,I have been working at Vivint Solar full-time for more than 3 years,If want learn how sell no one can beat Vivint's training program  But put effort if want paid,Commission can be hard people aren't driven succeed   can be very cliquey  You're everyones best friend if produce  You nobody if aren't producing
155,I have been working at Vivint Solar full-time for more than a year, people open help kind,Monotonous work at some moments
156,I have been working at Vivint Solar full-time for less than a year,It’s place work  had previous where did well but there was no room growth or development Since coming Vivint 2015 my whole life has changed better They develop as salesperson as an individual  lot challenging work but greatly rewarding satisfying,To do here need do not only learn sales skills but also learn everything about solar process You need be self starter someone who can be teachable eager learn do better
157,I have been working at Vivint Solar full-time for more than 3 years,I work largest &amp; number 1 solar company nation Everything house &amp; no other solar can offer customer what Vivint Vivint has best sales tools &amp; trainings ever seen any or platform from learning experienced Also oppurtunity economic growth &amp; also personal growth sometimes unbelievable can not believe amount money available me by simply applying myself tools Vivint has put place This also makes me feel fufilled internally; knowing i am selling something doesn’t cost customer anything  only helps save money while protecting plantet,You must really apply yourself &amp; use all sales tools available Many people see come go simply fall off bc they lack self discipline setting their own schedules working hours Or they do not apply sales trainings place If apply yourself there no cons this job
158,I have been working at Vivint Solar full-time for more than a year,i now been company over three years never had more money my savings account so little debt Every year been here made at least 40% more than year before,Need self discipline thick skin Some software used little glitchy
159,I have been working at Vivint Solar full-time for more than 3 years,Vivint place work They really take care us here  As long as put work definitely see benefits  love this  has changed my life,I really don't anything bad say about vivint
160,I have been working at Vivint Solar full-time, ability control your time amount income want make,Commitment yourself treat this opportunity like 9 5
161,I have been working at Vivint Solar full-time for less than a year,VIVINT solar has figured out what takes be top company such booming industry They Cater sales force created an elite work environment culture brand  leadership senior management some best people come across my life most respectful When analyze what am most grateful at VIVINT solar always knowledge been able learn while working here Truly blessing me my family,Will take ton dedication comitment But guess that’s anything rewarding life :)
162,I have been working at Vivint Solar full-time for more than a year,Amazing work environment everyone very energetic about what we do excited positive I’ve never been surrounded by so many people who striving better themselves help build up each other around I’ve grown so much since working here made more money than ever before built life long friendships couldn’t be happier my personal work life,They don’t micromanage so some people  makes hard be successful they need constant nagging stuff done
163,I have been working at Vivint Solar full-time for more than 5 years,"Work top sales guys improve your game 

Selling something that’s at no up front cost

Selling something everyone needs can afford since it’s lower bill

Never made more money doing anything else",You need go actually work paid 
164,I have been working at Vivint Solar full-time,"Unlimited earning potential
Choose your own schedule
Fun work environment
Advancement opportunities 
Best perks any company EVER",You’re only paid what you’re worth No free rides  (Some might see as con) 🤷🏻‍♂️
165,I have been working at Vivint Solar full-time for more than a year,"Fully commission based 
Easy incentives can achieve when first getting started
Flexible hours 
 training product","very saturated market place
employees often move from company company 
little team building exercises"
166,I have been working at Vivint Solar full-time for more than 5 years,Flexible work schedule  Culture Co-workers like family Uncapped Financial Opportunity,Not whole lot Cons other when new rep doesn’t live up his/her potential
167,I worked at Vivint Solar full-time for more than a year,"This culture amazing 
 opportunity grow there taken
Best trainings solar industry
 pay",I would like see more advertisement billboards radio stations etc
168,I have been working at Vivint Solar full-time for more than 3 years,"-great leadership
-great people
-compensation amazing
-training unmatched
-you can feel company executive management really do care",-1099: do not expect slack off succeedbecause there’s no ceiling respect what can earn do also means there no floor how much can’t earn
169,I have been working at Vivint Solar full-time for more than 5 years,Vivint Solar an amazing company work  culture compensation hands down best I’ve been part  partnership Nike incentives this company has mind blowing,None I’ve seen
170,I have been working at Vivint Solar ,"In sales org there unlimited income upward mobility opportunity  leadership team committed training new hires even an incentive cruise any new hire completes minimal sales standard within first 60 days In 2018 we took 65 new sales rep Cuba simply completing their training And another 90 reps Mexico doing same west coast 

 average first year sales rep makes more than $70000 annually we don’t manager making less than $150 but most easily clear $200 $300 &amp; even up $700000",This hard Mentally sometimes physically  requires leave your ego home be willing grind everyday Unfortunately mentally doesn’t fit everyone so we do cut reps can’t hack it
171,I have been working at Vivint Solar full-time for more than a year,No Income curling culture people sales tools sales incentives trips management experience Nike clothing always pays time accurately,You work hard but reward serious :)
172,I have been working at Vivint Solar full-time for more than 3 years,Able make mistakes out feeling like lose your Easy going culture,Hard programs understand little no training
173,I have been working at Vivint Solar full-time for more than 5 years," opportunity make money
 Training","Door door
Long hours
Lot rejection"
174,I have been working at Vivint Solar full-time for more than 5 years,Very employee oriented  A lot room move up company,Long travel there
175,I have been working at Vivint Solar full-time for more than 3 years, people work there made enjoyable They allowed us use Netflix youtube spotify etc during free time but required us do our when necessary,They new company still trying figure out what works They reformatted readjusted teams frequently didn't really care about employee feedback went from position loved position wash chaotic after 2 months working there
176,I have been working at Vivint Solar full-time for less than a year,great company culture fantastic benefits-( 401K medical vision &amp; dental AND company putting money your HSA)  free lunch every day  onsite crossfit gym people work working company can believe what we do collectively,I can't think any at moment
177,I worked at Vivint Solar full-time for more than a year,Nothing about this place,Horrible company Working made me feel bad about myself because we were taught transfer people around not any answers If no ideas they fire I'd stand up horrible way they treat you be fired Horrible company goes out their way screw over their employees customers
178,I worked at Vivint Solar full-time for less than a year,We sorry experience had at Vivint Solar We do care about our employees working towards making processes better We would love better understand issues had so we can make better experience other employees please email us at hrsolar@vivintsolarcom,Beautiful building work in
179,I have been working at Vivint Solar full-time for less than a year,Managment struggles identify true problems need be solved organization  worked several departments across organization appears this lack leadership has heavy thread throughout organization  see many cases discrimination take place monthly little or no repercussion   do not feel valued as an employee,We sorry experience had at Vivint Solar We always working improve capabilities our leaders engagement our employees  We take discrimination very seriously would opportunity address your concerns Please contact HR business partner or email us directly at hrsolar@vivintsolarcom
180,I have been working at Vivint Solar full-time for more than a year,get be outside money if your people,need drive lot mandatory meetings
181,I worked at Vivint Solar full-time for more than a year,"Flexible Hours
Independence 
Car Company Phone Given","Tedious Work
Money making culture
Working under sun"
182,I have been working at Vivint Solar full-time for more than a year,Positive work environment  supportive  management concise goals,Work life balance can be struggle at times
183,I have been working at Vivint Solar full-time for less than a year,I loved atmosphere we had as team We had leadership an awesome team Boston loved product we sold could believed we were helping people save money loved incentives company offered,Sometimes operations side business held things up couldn't install things as soon as we hoped
184,I have been working at Vivint Solar full-time,Free meals flexible hours work from home opportunities people,No 401k match (although this changing next year)
185,I have been working at Vivint Solar full-time for less than a year,Life changing money if just work hard,No real team culture compared other companies I've been part of
186,I worked at Vivint Solar full-time,Potential make money,Highs n lows commission based job
187,I have been working at Vivint Solar full-time for more than 3 years,"+ People excited improve processes their skill sets

+ ""Get done"" culture People here very adaptive driven towards self learning

+ Depending your position unparalleled freedom pursue changes feel builds company

+ Leadership listens ideas promotes based successful projects

+++  Every boss worked has made family-work balance paramount They really care about my success 

+  top leadership cares deeply about our customers shows They won't  even entertain ideas would hurt our reputation customers even visibly upset if suggest such an idea","- Employee workloads can swing wildly depending your boss team  vast majority shared me equally positive experiences balance but few others definitely feel swamped/overworked 

- If expecting promote based years working same position can be very frustrating  avenues standout feel limited some entry level teams Once past level gets exponentially easier promote 

- Cross team communication getting better but sometimes still find out were working solution parallel another team one versions end up being redundant"
188,I have been working at Vivint Solar full-time for more than 3 years, Company opportunities advancement,No Cons report  love coming work everyday
189,I worked at Vivint Solar  for less than a year,"-Advancement opportunities 
-Culture my team throughout organization 
-Fast paced environment 
-Open environment try new ideas",- only con had write something this section
190,I have been working at Vivint Solar full-time for more than a year, was easy learn free lunch,Pay can repetitive pretty quick
191,I have been working at Vivint Solar full-time for more than a year,Make your own hours   Pay   team Motivational environment,If you self disciplined work ethic there no cons 
192,I have been working at Vivint Solar full-time,Possibility making money if you’re naturally at door door,100 % commissions They don’t train at all &amp; stick neighborhood months  managers areas &amp; steal your accounts behind your back  Went my manager multiple times trying help but they didn’t take time help because they only care about their sales Everyone has been talked about solar NJ &amp; cancel every time PPA &amp; lease scam home owners save money few years then they pay more than their utility provider 20 YEARS  recruiters want recruit people so they can make more money only pay $50 an install your recruit gets
193,I have been working at Vivint Solar full-time,Decent sales training learn from,Wont paid accounts months Doing your as sales person means nothing cause admin side can not accounts through pipe line half time never paid If like working free its place work They also make go meetings dont pay an hourly as 1099 employee pretty sure thats illegal
194,I worked at Vivint Solar full-time,A steady income fair enough pay,No raises Hire by popularity not qualifications They say room move up but that's only if you've made friends right people
195,I have been working at Vivint Solar full-time for less than a year, opportunity there make lot moneya tremendous amount money And can feel about doing something environment If right office there can be lot people too,"It's impossible maintain any kind work life balance if family keeps conventional work/school hours  You work evenings Saturdays 

There no base pay at all just commission   takes long time start earning so be place where can absorb six months barely making anything 

There no benefits at all no matter how well perform or long there No matter how many hours put just contractor instead an employee"
196,I worked at Vivint Solar part-time for less than a year,Learned sales techniques I’ll use forever,THEY WILL DEDUCT YOUR PAY FOR MANY  REASONS THIS IS A PYRAMID SCHEME busted my behind this company wasted my time They say you’ll make all this money when reality it’s very difficult past all their deductions they apply sales rep plus installs take over 3 months average If disagree or ask questions they’ll tell read fine print 20 page commission contract they make sign  entire sales team left due unfair pay deductions lies from Vivint If problem your paycheck you’ll need email these clowns because there’s no phone contact so they can hide behind computer hope this company goes under worst way possible Check out reviews from customers There numerous ongoing lawsuits unfair treatment from this company customers At least helped environment :)
197,I worked at Vivint Solar full-time for less than a year,They do  incentives,You learn everything your own
198,I worked at Vivint Solar full-time for more than a year,Tons freedom flexible hours,Male dominated industry 100% commission Misleading Very little training Poorly managed Unethical You’ll essentially be asked prey elderly take advantage naive
199,I worked at Vivint Solar full-time for less than a year, place work  Managers very flexible  Unlimited PTO  Free lunch every day, business still growing
200,I worked at Vivint Solar full-time for more than a year,Uncapped commissions Got meet new people Work when want,Operations were pushed back lot meaning commission took longer come in
201,I worked at Vivint Solar part-time for more than 10 years,You learn how take rejection But no pros me,Sales managers promise world but when comes down they only care about their own money When hired they tell all right things similar pyramid scheme They train briefly expect make sales next day door knocking worked long hours 7 days week months trying make When asked additional training they would give quick pep talk blame problem gave my all 6 months door knocking DON'T DO IT
202,I have been working at Vivint Solar full-time for less than a year,Very pay training,Need be self motivated
203,I worked at Vivint Solar full-time, teamwork fantastic compensation saving families lot money,Self generated leads by cold canvassing
204,I have been working at Vivint Solar full-time for more than 3 years,Opportunity make money,No time enjoy life away from work Constant phone calls from sales reps having issues No set work hours so you’re call all day Won’t home until midnight-2am most nights
205,I worked at Vivint Solar full-time,Cool fun people work  Brand new building open views surrounding area,"Completely disorganized no vision from top  Seems like we're constantly changing direction every few months no clear reasons given as why  Sales reps held higher regard than actual customers  In fact I've been told more than one occasion Sales reps actual ""customer""    morale floor right now really bad due lack career advancement opportunities poor communication from leadership unrealistic productivity requirements"
206,I worked at Vivint Solar full-time for more than a year,Make own schedule most part,knocking doors 110 degrees meetings pointless feel like high school class
207,I have been working at Vivint Solar full-time for more than a year,Honestly best part working at VivintSolar was being around awesome people There were some really smart individuals there, biggest issue VivintSolar has entire goal company be acquired Everything they do focused quarterly profits an attempt make themselves more enticing potential buyers They only care about profits not their employees or customers
208,I worked at Vivint Solar full-time for less than a year,A lot opportunity work overtime,Often times overtime was mandatory
209,I have been working at Vivint Solar full-time for more than a year,Lots growth leadership opportunities starts feel like your coworkers family managers supervisors WANT see grow, can seem little unorganized at times mostly because we always trying refine processes
210,I worked at Vivint Solar , Operations Manager Long Island best manager I've ever had There was lot flexibility independence this position no micromanaging Everyone had lot fun most time,There no upward mobility You deal sales people constantly They make ridiculous demands act like they own company They heavily favored by corporate
211,I have been working at Vivint Solar full-time for more than a year,Money be made if your willing do door door,Long hours not very training
212,I worked at Vivint Solar full-time for less than a year,HighPaying Overtime Travel Opportunities Clothes Stipend,"If work at Vivint need take day off &amp; your scheduled work not only make day up weekend (if your already scheduled work Saturday work Sunday) But also submit 8 hours your Paid Time Off/Vacation Time even if don't want be paid &amp; want save your hours

Forced Saturdays &amp; Sundays

Some times work month straight 

Unorganized Management"
213,I worked at Vivint Solar full-time for more than a year, company has name within community,upper management not great
214,I worked at Vivint Solar full-time for more than 3 years,Money potential up you,Door door sales florida heat
215,I have been working at Vivint Solar full-time for less than a year,Money If want do well just become best friends Director VPs,All this company cares about money that’s about Company has new pay scale incentivized sales reps take advantage customers overcharge so they can make more money
216,I worked at Vivint Solar ," isn’t often come across company such incredible culture such fine attention their sales teams Direct sales representatives treated upmost regard at Vivint Solar constant positive recognition never ending Nike / Vivint swag leadership development programs available anyone who ready put work rise top Vivint Solar doesn’t base promotions off age gender or seniority if perform if trainable willing give 1000% not only your performance but your team be rewarded 

I started working Vivint Solar towards end 2016 year As female male dominated industry was interested see how promotions would pan out but within 10 months was promoted as Co-District Manager Florida office 

I now been transferred by choice Boston MA one top offices company couldn’t be any more grateful not only this incredible income oppurtunity but career where am constantly growing learning making difference 

I trust this company couldn’t be anymore proud call Vivint Solar my home","It’s easy lost grind at Vivint If don’t healthy consistent committed work schedule fail 
There ton freedom this oppurtunity s
self-discipline 1000% manadatory"
217,I worked at Vivint Solar full-time for less than a year,"401 K ""Free"" Lunch  Medical Dental Vision",No support Poor management No Safety Focus
218,I have been working at Vivint Solar full-time for less than a year,money money money thats it,"Worked inside sales pretty much just hired their friends shunned anyone who wasn't part ""group"" away"
219,I worked at Vivint Solar full-time for more than 5 years,Fun work environment flexible PTO,Higher up's do not seem know what they doing salesmen treated way better than everyone else
220,I worked at Vivint Solar full-time for more than a year, Pay healthcare 401k Company parties Training Solar Lots OT Take home truck Easy Management Gas Card Reimbursement if spend personal moneyCell phone Clothes/Prizes/Spiffs Company trips gift cards Per Diem/Travel Always provided everything need done Smoothest work systems make life easier I'd definitely work here again without doubt; company really cares about employees Company always has incentives installers/techs,Lots change service department Last minute accounts/homeowners be handled Squirrels Angry Homeowners iSova
221,I worked at Vivint Solar full-time,Company vehicle   Not body watching 24/7  You work by yourself You see different people houses places everyday Regional manager was nice guy  And las district supervisor was good,Discrimination when comes salary 2 people would hired this same time  No experience they different pay  am talking 5 7 dollars/ hour difference Or if work there while someone might hired no experience 25% more salary than A lot promises raise week become month month become year never got raise   A lot bullying from some managers Sales reps always right  Ask lie customers A lot hypocrisy when comes safety  They give lot safety policies but no time do  Always problem their uploading programs punished  You can’t do over 40 hours week so sometimes had clock out while am working   They  ask Efficiency not control over  It’s all up customer if they their or not problems each house can  So if care about doing perfect You type person that extra mile  This not  You punished it
222,I worked at Vivint Solar ,,
223,I have been working at Vivint Solar full-time for more than a year,,
224,I worked at Vivint Solar full-time for more than 3 years,,
225,I worked at Vivint Solar full-time,,
226,I worked at Vivint Solar  for less than a year,,
227,I worked at Vivint Solar full-time for more than a year,,
228,I worked at Vivint Solar full-time for more than a year,,
229,I have been working at Vivint Solar full-time for less than a year,,
